,distance,global_stop_id,location_type,parent_station_global_stop_id,route_type,rt_stop_id,stop_code,stop_lat,stop_lon,stop_name,wheelchair_boarding
404,11094,CATAMI:9181,0,,3,5378,5378,42.71262578281346,-84.46195358146707,Hagadorn / Mt Hope,0
405,12015,CATAMI:10236,0,,3,3279,3279,42.65864857627718,-84.53680401299015,Cedar / Long Blvd,0
406,25335,CATAMI:9982,0,,3,6138,6138,42.72717678584173,-84.67401331657629,Marketplace / St. Joseph Hwy,0
407,18049,CATAMI:8092,0,,3,4494,4494,42.75180017662753,-84.53490644708225,North / Vermont Ave,0
408,7057,CATAMI:7928,0,,3,2682,2682,42.68767863670689,-84.41029662139636,Dobie / Algoma Dr,0
409,18936,CATAMI:8330,0,,3,5741,5741,42.72416406271784,-84.58538529751347,Main / Bridge St,0
410,13239,CATAMI:8622,0,,3,3902,3902,42.72041389691883,-84.49397837861397,Harrison / Trowbridge Rd,0
411,14736,CATAMI:8068,0,,3,4842,4842,42.74540600904218,-84.47234073134202,Alton Street / Whitehills,0
412,15703,CATAMI:10100,0,,3,3349,3349,42.71296752454095,-84.54736203372883,Cedar / Norman St,0
413,18499,CATAMI:8682,0,,3,5698,5698,42.76062250911872,-84.52811657854929,Lake Lansing / Chamberlain,0
414,13779,CATAMI:10224,0,,3,4375,4375,42.69285872183933,-84.53815299349338,Pennsylvania / Maplehill,0
415,15681,CATAMI:9626,0,,3,2868,2868,42.71192431295178,-84.54813544921736,Mt Hope / Cedar,0
416,12096,CATAMI:10278,0,,3,3333,3333,42.65976373349319,-84.53735259839479,Cedar / Roth Dr,0
417,9820,CATAMI:9292,0,,3,4003,4003,42.71204122459539,-84.37739948352403,Grand River / Van Atta,0
418,11234,CATAMI:10158,0,,3,5750,5750,42.68412632138169,-84.50856535445567,Belle Chase / Beau Jardin,0
419,20850,CATAMI:9988,0,,3,1857,1857,42.74213248302098,-84.59622210755616,Morris / Upton Rd,0
420,13248,CATAMI:10080,0,,3,5723,5723,42.66194008870508,-84.55121112476473,Edgewood / Celebration Dr,0
421,15527,CATAMI:10099,0,,3,3348,3348,42.70990084219692,-84.54791061913348,Cedar / Riley St,0
422,15179,CATAMI:10097,0,,3,4460,4460,42.70462183182757,-84.54792860554019,Cedar / Park Blvd,0
423,15027,CATAMI:10096,0,,3,3345,3345,42.7022026601251,-84.54796457835361,Cedar / Paris Ave,0
424,11029,CATAMI:10273,0,,3,3330,3330,42.65027590395374,-84.52762195236475,Cedar St / Fay Ave,0
425,21987,CATAMI:8512,0,,3,3777,3777,42.76549682533709,-84.58630260425568,Grand River / Grandell Av,0
426,11478,CATAMI:10154,0,,3,5746,5746,42.68742682701295,-84.50895206219992,Trappers Cove / Dunckel 2,0
427,22795,CATAMI:10034,0,,3,4767,4767,42.7406935704842,-84.6272216795206,Frontage Road / Barbara,0
428,17900,CATAMI:8949,0,,3,5986,5986,42.77212481620968,-84.48589348879788,Coleman / The Club,0
429,17611,CATAMI:10503,0,,3,6008,6008,42.76999342701455,-84.4836991471793,Chandler / Coleman,0
430,14146,CATAMI:10190,0,,3,3394,3394,42.71213115662894,-84.52318830311079,Aurelius / Mt Hope Ave,0
431,21772,CATAMI:8513,0,,3,3778,3778,42.76472340984856,-84.58361363645255,Grand River / Benton Blvd,0
432,14895,CATAMI:10095,0,,3,3344,3344,42.70015220976018,-84.54792860554019,Cedar / Brookland Blvd,0
433,8149,CATAMI:7921,0,,3,6074,6074,42.69348824607417,-84.43249184727632,Okemos / Club Meridian,0
434,14902,CATAMI:10192,0,,3,3833,3833,42.72114234639058,-84.52408762344628,Perkins / Regent St,0
435,13838,CATAMI:8869,0,,3,4760,4760,42.72723074506187,-84.49360965727642,Harrison / Kalamazoo,0
436,14583,CATAMI:10093,0,,3,3342,3342,42.69497212462774,-84.54799155796367,Cedar / Hunter Blvd,0
437,16358,CATAMI:8919,0,,3,3355,3355,42.7298387740348,-84.5374515236317,Kalamazoo / S Pennsylvania,0
438,14420,CATAMI:10055,0,,3,3268,3268,42.69204933353738,-84.54811746281064,Cedar / E Mason St,0
439,10305,CATAMI:10270,0,,3,3327,3327,42.64497890717769,-84.52025651881708,Cedar St / North St,0
